City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
437,Port Blair,IN,81.34,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
444,Porto Novo,BJ,78.62,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
445,Key West,US,87.01,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
447,Ormara,PK,84.4,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
451,Almeirim,BR,81.43,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
454,Harper,LR,76.77,overcast clouds,4.375,-7.7169,Screensaver
455,Denia,ES,78.94,clear sky,38.8408,0.1057,Hotel Port Denia
462,Vanimo,PG,76.75,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
467,Anchorage,US,78.31,clear sky,61.2181,-149.9003,Hotel Captain Cook
471,Birjand,IR,82.87,scattered clouds,32.8663,59.2211,Birjand Tourist Hotel
472,French Harbor,HN,84.99,broken clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
474,Thompson,CA,77.16,smoke,55.7435,-97.8558,Burntwood Hotel
475,Port Said,EG,80.58,clear sky,31.2565,32.2841,Aracan Hotel
476,Jalu,LY,82.71,clear sky,29.0331,21.5482,صاحبة الفخامة
478,Turayf,SA,84.45,clear sky,31.6725,38.6637,Turaif
480,Kongolo,CD,75.42,clear sky,-5.3833,27.0,Mustafa Zengin Büyük Çerkes Düklüğü
484,Careiro Da Varzea,BR,86.61,overcast clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
489,Alugan,PH,77.56,overcast clouds,12.2188,125.4808,JM Lodge
491,Catuday,PH,79.72,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
494,Nha Trang,VN,78.8,light rain,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
497,Santa Maria Del Oro,MX,85.8,scattered clouds,25.9333,-105.3667,Hotel Palacio Del Sol
499,Jacareacanga,BR,87.1,broken clouds,-6.2222,-57.7528,Casa do Ian😎
500,Riberalta,BO,85.17,scattered clouds,-10.9833,-66.1,Hotel Colonial
501,Bubaque,GW,80.83,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
502,Beyneu,KZ,83.82,clear sky,45.3167,55.2,NUR
506,Tefe,BR,82.51,thunderstorm,-3.3542,-64.7114,Aracati Hotel
508,Champaign,US,75.27,scattered clouds,40.1334,-88.2001,"Comfort Suites Urbana Champaign, University Area"
511,Fairbanks,US,78.1,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
515,Rio Verde De Mato Grosso,BR,77.43,clear sky,-18.9181,-54.8442,Hotel Valência
519,Pauini,BR,85.89,few clouds,-7.7136,-66.9764,Casa do Kiwliks
523,Nabire,ID,75.16,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
529,New Richmond,US,86.76,broken clouds,45.123,-92.5366,Coratel Inn & Suites New Richmond
532,Anloga,GH,77.22,moderate rain,5.7947,0.8973,Pin Drop Hotel
535,Qui Nhon,VN,77.67,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
540,Tarakan,ID,80.1,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
543,Kulu,TR,75.29,clear sky,39.0951,33.0799,Kapadokya Motel
545,Homer,US,77.07,clear sky,59.6425,-151.5483,Beluga Lake Lodge
546,Padang,ID,75.43,broken clouds,-0.9492,100.3543,Mercure Padang
548,Kudahuvadhoo,MV,82.27,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
551,Diu,IN,82.47,overcast clouds,20.7141,70.9822,Hotel Relax Inn
552,Kloulklubed,PW,81.79,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
555,Sabang,ID,81.45,clear sky,5.8933,95.3214,Hotel Citra
556,Bengkulu,ID,76.69,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
558,Banda Aceh,ID,78.01,few clouds,5.5577,95.3222,Sulthan Hotel International
