City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
353,Guaymas,27.9333,-110.9,99.88,63,40,13.8,MX,scattered clouds
354,Gawler,-34.6,138.7333,51.55,78,72,16.69,AU,broken clouds
355,Revda,56.801,59.9303,59.81,92,96,0.87,RU,overcast clouds
356,Nenjiang,49.1833,125.2167,71.55,88,62,4.97,CN,broken clouds
357,La Libertad,-2.2333,-80.9,73.06,78,75,8.05,EC,broken clouds
358,Shakawe,-18.3667,21.85,55.06,76,61,6.15,BW,broken clouds
359,Dingle,10.9995,122.6711,75.52,91,99,6.76,PH,light rain
360,Kahului,20.8947,-156.47,84.22,68,40,20.71,US,scattered clouds
361,Saint-Leu,-21.15,55.2833,68.86,71,16,8.75,RE,few clouds
362,Yulara,-25.2406,130.9889,39.04,65,28,6.91,AU,scattered clouds
363,Ahipara,-35.1667,173.1667,61.61,95,100,23.82,NZ,light rain
364,Santa Isabel Do Rio Negro,-0.4139,-65.0192,80.64,85,37,3.71,BR,scattered clouds
365,Nanchong,30.7951,106.0847,74.01,96,100,1.9,CN,overcast clouds
366,Santa Cruz,-17.8,-63.1667,64.45,77,90,0.0,BO,overcast clouds
367,Zyryanka,65.75,150.85,59.11,83,100,4.65,RU,light rain
368,Balapur,20.6667,76.7667,81.01,79,70,5.5,IN,broken clouds
369,Cap Malheureux,-19.9842,57.6142,71.47,73,58,5.01,MU,light rain
370,Lokvine,44.2047,17.8564,62.01,97,100,3.18,BA,overcast clouds
371,Camopi,3.1655,-52.3158,73.08,97,100,3.47,GF,overcast clouds
372,Okhotsk,59.3833,143.3,56.93,95,100,15.05,RU,light rain
373,Namatanai,-3.6667,152.4333,80.26,86,83,6.4,PG,light rain
374,Codrington,-38.2667,141.9667,50.68,83,93,21.14,AU,light rain
375,Stantsionno-Oyashinskiy,55.4664,83.8245,55.62,92,90,5.91,RU,light rain
376,Fagersta,60.0042,15.7932,64.85,73,0,4.23,SE,clear sky
377,Cocobeach,1.0002,9.5823,78.73,77,62,7.78,GA,broken clouds
378,Kavaratti,10.5669,72.642,82.56,76,97,16.55,IN,overcast clouds
379,Egvekinot,66.3167,-179.1667,41.9,98,100,6.93,RU,light rain
380,Srednekolymsk,67.45,153.6833,65.68,49,100,2.48,RU,overcast clouds
381,Rocha,-34.4833,-54.3333,46.99,78,3,5.41,UY,clear sky
382,Izhma,65.0083,53.9113,59.04,60,100,3.67,RU,overcast clouds
383,Opuwo,-18.0607,13.84,61.66,36,0,8.37,NA,clear sky
384,Jutai,-5.1833,-68.9,84.13,67,34,0.76,BR,scattered clouds
385,Cherskiy,68.75,161.3,58.05,42,52,13.15,RU,broken clouds
386,Canto Do Buriti,-8.11,-42.9444,80.65,35,2,6.15,BR,clear sky
387,Great Bend,38.3645,-98.7648,91.85,57,75,1.99,US,broken clouds
388,Dailly,46.2,7.0333,61.2,91,69,1.72,CH,broken clouds
